tempo,temp,h,vazao,vazaoideal,tempideal+
84,55.87560191417132,34.94016104119731,0.052077533892538726,0.084, 57.0
85,55.88299669811346,35.28754569999254,0.05233840488236023,0.084, 57.0
86,55.89023891398114,35.63488263532089,0.052597942762806,0.084, 57.0
87,55.89733612159368,35.982175736522706,0.052856170865937295,0.084, 57.0
88,55.90429578679693,36.32942911141808,0.05311311116610832,0.084, 57.0
89,55.911125150310525,36.67664692366713,0.05336878528067861,0.084, 57.0
90,55.91783058066612,37.02383260153621,0.05362321436482061,0.084, 57.0
91,55.924418786286694,37.370990261491286,0.05387641855172298,0.084, 57.0
92,55.93089559973246,37.71812323659274,0.054128418012176535,0.084, 57.0
93,55.93726666230869,38.06523487499446,0.05437923189737853,0.084, 57.0
94,55.94353765085995,38.41232881140081,0.054628878939619166,0.084, 57.0
95,55.94971338379789,38.759407844662505,0.05487737765977729,0.084, 57.0
96,55.95579913425814,39.10647555619308,0.05512474557783955,0.084, 57.0
97,55.96179936481755,39.45353471566369,0.055371000384727906,0.084, 57.0
98,55.96771851235479,39.80058824954201,0.05561615881835093,0.084, 57.0
99,55.97356097750766,40.14763922521133,0.055860237367595336,0.084, 57.0
100,55.9793304382631,40.494689948999785,0.05610325226986907,0.084, 57.0
101,55.98503125593986,40.841743785185656,0.056345218892125924,0.084, 57.0
102,55.990666735347915,41.18880287377985,0.0565861530125397,0.084, 57.0
103,55.9962405765718,41.53587002407237,0.056826069240308544,0.084, 57.0
104,56.00175607842144,41.88294765659346,0.057064982343704225,0.084, 57.0
105,56.007216338100505,42.23003805413612,0.057302906525558785,0.084, 57.0
106,56.01262466272984,42.577143916272654,0.05753985560847605,0.084, 57.0
107,56.01798359942169,42.9242670263263,0.057775843421241174,0.084, 57.0
108,56.02329647500579,43.27141036049925,0.05801088290022815,0.084, 57.0
109,56.028565583249126,43.618575578212074,0.05824498752908392,0.084, 57.0
110,56.033793774125044,43.96576522033854,0.058478169647585815,0.084, 57.0
111,56.03898337168199,44.31298119249019,0.05871044194412559,0.084, 57.0
112,56.04413678949207,44.66022562266152,0.05894181644207473,0.084, 57.0
113,56.041477247777586,45.01778682381286,0.05917230508283976,0.084, 57.0
114,56.02711081839978,45.39161445696002,0.059408707164749254,0.084, 57.0
115,56.008886327268485,45.79256459526105,0.05965486211052429,0.084, 57.0
116,55.98902107300562,46.22341974296454,0.059917752496805705,0.084, 57.0
117,55.96758949488682,46.68443365503474,0.06019897098662418,0.084, 57.0
118,55.944669171816734,47.17585023024004,0.06049842641387232,0.084, 57.0
119,55.92035206213715,47.69772232096017,0.060816006594077016,0.084, 57.0
120,55.89474065023615,48.249946058742445,0.06115146302389893,0.084, 57.0
121,55.867946642002345,48.83225508448015,0.061504437002588744,0.084, 57.0
122,55.84008736946484,49.444253453650795,0.06187445998651822,0.084, 57.0
123,55.811283906850235,50.08542820798254,0.06226097871673897,0.084, 57.0
124,55.78165814377104,50.755169719437426,0.06266336706167193,0.084, 57.0
125,55.75133074780785,51.45279198077655,0.06308094249457513,0.084, 57.0
126,55.72041941341329,52.1775516137161,0.06351298206896668,0.084, 57.0
127,55.68903751113897,52.928661767605696,0.06395873706160357,0.084, 57.0
128,55.65729256540606,53.70531360913275,0.0644174439308196,0.084, 57.0
129,55.62528572128393,54.50668303000958,0.06488833937585403,0.084, 57.0
130,55.59311088573236,55.33194723067012,0.06537066581849042,0.084, 57.0
131,55.56085452767326,56.180291285447815,0.06586368242730235,0.084, 57.0
132,55.52859547218631,57.05091601734549,0.06636666962247774,0.084, 57.0
133,55.49640491721179,57.94304458744112,0.06687893402081022,0.084, 57.0
134,55.46434650744581,58.855932636895105,0.06739981228204857,0.084, 57.0
135,55.432477067908486,59.78886009638674,0.06792867670382353,0.084, 57.0
136,55.400846709788595,60.74113901206692,0.06846492993903316,0.084, 57.0
137,55.36949923371687,61.7121151023546,0.06900800894494817,0.084, 57.0
138,55.338472261536026,62.701176505523975,0.06955738511491502,0.084, 57.0
139,55.307798371256006,63.707736409077675,0.07011256833145595,0.084, 57.0
140,55.27750517491234,64.73124243718821,0.07067309625643757,0.084, 57.0
141,55.247615379080784,65.77118313496818,0.07123853877695385,0.084, 57.0
142,55.21814780473217,66.82707290485895,0.0718085005955528,0.084, 57.0
143,55.1891178284914,67.89845545665892,0.07238261197097644,0.084, 57.0
144,55.16053718460086,68.98491513059831,0.0729605297938691,0.084, 57.0
145,55.13241501917477,70.08605504398011,0.07354194276900025,0.084, 57.0
146,55.104757804168244,71.20150810508726,0.07412655877246725,0.084, 57.0
147,55.07756951882255,72.33093919556605,0.07471411001570481,0.084, 57.0
148,55.05085241716265,73.47402891448948,0.07530435334648575,0.084, 57.0
149,55.024606693304634,74.63049093564103,0.07589706098984318,0.084, 57.0
150,54.99883116095117,75.8000554195604,0.0764920289269036,0.084, 57.0
151,54.97352322271342,76.98247415367533,0.0770890676094447,0.084, 57.0
