tempo,temp,h,vazao,vazaoideal,tempideal+
1,-5.319308177178269,2.158158475531111,0.012521980673998822,0.084, 57.0
2,11.93798341869838,3.053229302058766,0.013007675598723975,0.084, 57.0
3,21.368423682071583,3.9481040485869676,0.015471689541915171,0.084, 57.0
4,27.312281728018988,4.842809946543376,0.017593503272777092,0.084, 57.0
5,31.401376334233557,5.7373653013579915,0.019485284185995353,0.084, 57.0
6,34.38664713702928,6.631783510191814,0.02120871140891088,0.084, 57.0
7,36.66186507457852,7.526074928060653,0.02280201366544276,0.084, 57.0
8,38.45341444032033,8.420247869931973,0.024290826959162078,0.084, 57.0
9,39.900690384591535,9.314309203806689,0.02569333440802627,0.084, 57.0
10,41.09421895419325,10.208264727267755,0.02702298728080307,0.084, 57.0
11,42.095346750579694,11.102119419638855,0.028290068126778912,0.084, 57.0
12,42.9471208472654,11.995877618072784,0.029502646703299117,0.084, 57.0
13,43.68063851691562,12.889543144754741,0.030667194284070175,0.084, 57.0
14,44.318924617110966,13.783119401397881,0.03178899467659793,0.084, 57.0
15,44.879391265269966,14.676609441110012,0.032872428584903704,0.084, 57.0
16,45.37544982286962,15.570016024155777,0.033921175984671065,0.084, 57.0
17,45.81759750789745,16.46334166197705,0.034938363675103806,0.084, 57.0
18,46.2141681072046,17.3565886524712,0.03592667513560086,0.084, 57.0
19,46.57186199370535,18.24975910864029,0.036888433828962466,0.084, 57.0
20,46.89612760585074,19.1428549821317,0.03782566739817553,0.084, 57.0
21,47.191440787534496,20.03587808278483,0.038740157854597404,0.084, 57.0
22,47.46151253056302,20.928830095015165,0.03963348132186133,0.084, 57.0
23,47.70944565197684,21.82171259166458,0.04050703987517711,0.084, 57.0
24,47.9378544740979,22.71452704580055,0.04136208731660557,0.084, 57.0
25,48.14895731372875,23.607274840839004,0.04219975024085763,0.084, 57.0
26,48.34464872473259,24.499957279285102,0.04302104540247457,0.084, 57.0
27,48.526556482752326,25.39257559032555,0.0438268941484102,0.084, 57.0
28,48.69608694377436,26.285130936459414,0.04461813450024018,0.084, 57.0
29,48.85446145282351,27.177624419318576,0.045395531337549276,0.084, 57.0
30,49.00274579741937,28.07005708480088,0.046159785034969314,0.084, 57.0
31,49.141874208062504,28.962429927616906,0.046911538830530695,0.084, 57.0
32,49.27266904829184,29.854743895333822,0.047651385145923784,0.084, 57.0
33,49.39585707121708,30.746999891985602,0.04837987103531976,0.084, 57.0
34,49.512082921309506,31.639198781307673,0.04909750290525651,0.084, 57.0
35,49.621920411087416,32.531341389644744,0.04980475062134657,0.084, 57.0
36,49.72588198906819,33.423428508573096,0.05050205109644705,0.084, 57.0
