tempo,temp,h,vazao,vazaoideal,tempideal+
1,-5.319308177178269,2.158158475531111,0.012521980673998822,0.084, 57.0
2,13.595696980694546,2.8692420669858123,0.013007675598723975,0.084, 57.0
3,24.93923064549113,3.576899024784207,0.01499828583711111,0.084, 57.0
4,32.41472133588521,4.274732378354962,0.016746010974052355,0.084, 57.0
5,37.73571702304219,4.966665839912359,0.018306802518818763,0.084, 57.0
6,41.724787146657356,5.6546158929071275,0.019732881235367757,0.084, 57.0
7,44.444468549236895,6.279378103398708,0.02105521042411875,0.084, 57.0
8,46.24625429276564,6.82829096656722,0.022187907591894707,0.084, 57.0
9,47.5726115774936,7.336330770170051,0.02313737262047854,0.084, 57.0
10,48.60483604491328,7.817989325547871,0.02398266733249936,0.084, 57.0
11,49.435834138272945,8.280629994244345,0.02475743046285202,0.084, 57.0
12,50.120673100355425,8.728658666992429,0.025479430754017183,0.084, 57.0
13,50.69497308775554,9.164985874062781,0.026159641425145843,0.084, 57.0
14,51.18318164310921,9.591668557426097,0.02680550116163699,0.084, 57.0
15,51.60281372610109,10.01023237592668,0.027422377995028186,0.084, 57.0
16,51.96861918649118,10.422413810418073,0.02801432166361791,0.084, 57.0
17,52.29247205043933,10.829894583015948,0.028585262684410945,0.084, 57.0
18,52.58051339617716,11.233079408236843,0.029138698243203153,0.084, 57.0
19,52.83779865464852,11.63233424446293,0.02967614236395574,0.084, 57.0
20,53.06851552906795,12.027987661406485,0.03019892390079312,0.084, 57.0
21,53.276161009395054,12.420336006316282,0.03070821116011593,0.084, 57.0
22,53.46367608735933,12.809647397129906,0.03120503713978236,0.084, 57.0
23,53.633548797647265,13.196164501899869,0.03169031959344974,0.084, 57.0
24,53.78789389424581,13.580106366179967,0.03216487675942425,0.084, 57.0
25,53.92852089171293,13.961672101718495,0.03262943976087407,0.084, 57.0
26,54.056984564886164,14.341042448960417,0.03308466552308985,0.084, 57.0
27,54.174627598229456,14.718382028957304,0.033531145641008106,0.084, 57.0
28,54.28261167097454,15.093822856384385,0.0339694149356484,0.084, 57.0
29,54.38194564880597,15.467441865289436,0.03439993767349784,0.084, 57.0
30,54.47351735175981,15.839369699293714,0.034823087775765836,0.084, 57.0
31,54.558105540745295,16.20972611750147,0.03523927616204151,0.084, 57.0
32,54.63639529533725,16.578620899035066,0.03564887834998621,0.084, 57.0
33,54.70899023601052,16.946154283372252,0.03605223818966514,0.084, 57.0
34,54.77642454713361,17.312418328021916,0.03644967072301731,0.084, 57.0
35,54.839173247141915,17.67749823998831,0.03684146572704347,0.084, 57.0
36,54.89765826706476,18.04147204359376,0.03722789091548276,0.084, 57.0
37,54.95225587746617,18.40441158331437,0.037609193134362125,0.084, 57.0
38,55.00330260562249,18.766383190011002,0.037985600799932684,0.084, 57.0
39,55.05110013544516,19.12744818035142,0.03835732579438852,0.084, 57.0
40,55.09592026672633,19.487663793345863,0.038724565037448144,0.084, 57.0
41,55.138006976622066,19.847082599054026,0.03908750236838261,0.084, 57.0
42,55.17758035662576,20.205753349630605,0.03944630877237864,0.084, 57.0
43,55.21483965008916,20.56372151861867,0.03980114398621024,0.084, 57.0
44,55.249965274515866,20.921029375223135,0.04015215768871835,0.084, 57.0
45,55.283120685519194,21.277716106655966,0.04049949015750067,0.084, 57.0
46,55.31445443629412,21.633818224806852,0.04084327291931718,0.084, 57.0
47,55.34410214342638,21.989370068266055,0.04118362962179096,0.084, 57.0
48,55.37218716781741,22.34440348840516,0.041520676937545936,0.084, 57.0
49,55.39882249984222,22.698948505388355,0.04185452464777213,0.084, 57.0
50,55.42411122693245,23.053033026370112,0.04218527661189917,0.084, 57.0
51,55.44814758766683,23.406683052451076,0.04251303081723787,0.084, 57.0
52,55.47101800808504,23.75992295017354,0.04283787986481316,0.084, 57.0
53,55.49280186925548,24.112775586072605,0.04315991148384813,0.084, 57.0
54,55.51357279902652,24.465262939586175,0.04347920889285007,0.084, 57.0
55,55.53339795079741,24.817405165860183,0.04379585156682715,0.084, 57.0
56,55.55233922319005,25.169221218254872,0.04410991458848496,0.084, 57.0
57,55.57045373732917,25.520728934164588,0.04442146939837968,0.084, 57.0
58,55.58779489475633,25.87194564893904,0.04473058403864747,0.084, 57.0
59,55.604411724501844,26.222887416313636,0.045037323842306846,0.084, 57.0
60,55.620349430473965,26.57356921849959,0.04534175088634083,0.084, 57.0
61,55.635649955489924,26.924005240868752,0.04564392431343265,0.084, 57.0
62,55.65035270388349,27.274209328123845,0.045943900692954995,0.084, 57.0
63,55.664493682649244,27.624194055558846,0.04624173451899171,0.084, 57.0
64,55.678106361237,27.973971320565063,0.04653747752033637,0.084, 57.0
65,55.69122236170933,28.32355283488645,0.046831179266940325,0.084, 57.0
66,55.703870905353924,28.67294949552073,0.047122887668892895,0.084, 57.0
67,55.716078987379625,29.022171412014483,0.047412648528096644,0.084, 57.0
68,55.727872057818814,29.371228432864925,0.04770050564409078,0.084, 57.0
69,55.7392740867133,29.720130118574964,0.047986501322107356,0.084, 57.0
